Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
12,12.4,"Restrictions on online payment 
",0,Anti-Money Laundering and Counter-Terrorism Financing Act 2006,There is no restriction mandating a local bank account,"Since December 2006, last amended in October 2024",https://www.legislation.gov.au/C2006A00169,,,,
12,12.4,"Restrictions on online payment 
",0,Anti-Money Laundering and Counter-Terrorism Financing Act 2006,There is no mandate of currency used for international payments,"Since December 2006, last amended in October 2024",https://www.legislation.gov.au/C2006A00169,,,,
12,12.4,"Restrictions on online payment 
",0,Payment Systems (Regulation) Act 1998,There is no deviation for payment security that deviate from international standards,"Since June 1998, last amended in October 2020",https://www.legislation.gov.au/C2004A00318,,,,
12,12.4,"Restrictions on online payment 
",1,"Banking Act 1959
","A purchased payment facility (PPF), a facility under which a holder of stored value makes payments to another person on behalf of the user of the facility, is regulated by the Banking Act 1959, if classified as a banking business under the Act. If so, the business entity must be an authorized deposit-taking institution (ADI) or authorised or exempted from the requirement to be an ADI before it can be the holder of the stored value. As of August 2023, PayPal Australia Pty Limited and TransferWise Australia Pty Ltd are the only providers of PPF which are also ADIs. Foreign PPFs, if classified as bank business, are granted an ADI licence subject to a condition specifically restricting the acceptance of retail deposits by their Australian branches. This is because depositors with foreign ADIs do not have the same protections under the Banking Act as depositors with Australian ADIs.  However, foreign ADIs do not have to maintain capital in Australia, as long as foreign bank applicants satisfy Australian Prudential Regulation Authority (APRA) by ensuring adequate supervision in their home country and they must have received consent from their home supervisor for establishing a banking operation in Australia.","Since April 1959, last amended in October 2024","https://www.legislation.gov.au/Details/C2021C00088
","https://www.apra.gov.au/licensing-guidelines-for-authorised-deposit-taking-institutions#:~:text=A%20purchased%20payment%20facility%20(PPF,the%20Reserve%20Bank%20of%20Australia.

",https://www.apra.gov.au/sites/default/files/information-paper-adi-licensing-restricted-adi-framework-20180504.pdf,,
12,12.4,"Restrictions on online payment 
",0,"Electronic Transactions Act 1999;

Anti-Money Laundering and Counter-Terrorism Financing Act 2006 (AML/CTF Act)","There is no ceiling on maximum payment amounts. Anti-Money Laundering and Counter-Terrorism Financing Act 2006 requires  providers to report transactions of $10,000 or more in a single transaction or over a series of transactions, which could be seen as suspicious. (Sections 41 (Reports of suspicious matters) and 43 (Reports of threshold transactions) of the AML/CTF Act).","Since December 1999, last amended in 2011;

Since June 2021, last amended in October 2024 ",https://www.legislation.gov.au/C2004A00553,https://www.legislation.gov.au/C2006A00169/latest/text,,,
12,12.4,"Restrictions on online payment 
",0,"Competition and Consumer Act 2010;

Anti-Money Laundering and Counter-Terrorism Financing Act 2006",There are no requirements mandating the use of specific intermediaries for online payments.,"Since August 1974, last amended in October 2024;

Since December 2006, last amended in October 2024
",https://www.legislation.gov.au/C2004A00109,https://www.legislation.gov.au/C2006A00169,,,
12,12.4,"Restrictions on online payment 
",0,"Electronic Transactions Act 1999; 

The Australian Guidelines for Electronic Commerce 2006","As per the Electronic Transactions Act 1999, special requirements for payment are not observed.","Since December 1999, last amended in 2011","https://www.legislation.gov.au/Details/C2011C00445

",https://treasury.gov.au/sites/default/files/2019-03/australian_guidelines_for_electronic_commerce.pdf,,,
12,12.5,Low De Minimis,0,A New Tax System (Australian Business Number) Act 1999,"Under Australia's de minimis rule, goods valued at AUD 1,000 (640 USD) or less are exempt from customs duties and certain border taxes. However, since July 1, 2018, Goods and Services Tax (GST) applies to low-value goods, services, and digital products, collected at the point of sale by overseas sellers or platforms to promote fairness for domestic retailers.","Since July 1999, last amended in October 2024
",https://www.legislation.gov.au/C2004A00467,,,,
12,12.6,Domain name requirements,1,Guidelines on the Interpretation of Policy Rules for Open 2LDs 2012,"In Australia, it is not possible to register directly under an "".au"" domain, and therefore it is required to have a registration under the open second level domains such as "".com.au"" or "".org.au.""  A company that wants to register for the second level domain needs to be a registered Australian company or a foreign company licensed to trade in Australia. For certain second level domains such as ""id.au"", the registrants must be an Australian citizen or resident. The domain name policies were approved in 2012.",Since December 2012,"http://www.auda.org.au/policies/index-of-published-policies/2012/2012-05/


",https://business.gov.au/online/business-website/register-a-business-website,,,
12,12.7,Local presence requirements for online service providers,0,Corporations Act 2001,"If an entity satisfies the definition of ‘foreign company’ in section 9 of the Corporations Act 2001 – that is, generally, a company registered outside Australia – it must be registered with Australian Securities and Investments Commission (ASIC) to carry on business in Australia. Foreign companies must maintain a registered office in Australia that is open every business day from at least 10 am to 12 pm and 2 pm to 4 pm unless notify of alternative registered office hours and a representative must be present at the registered office whenever it is open. ","Since June 2001, last amended in October 2024 ",https://www.legislation.gov.au/C2004A00818,,,,
12,12.8,Lack of legal framework for online consumer protection,0,"Competition and Consumer Act 2010; 

Electronic Transactions Act 1999 

","The Competition and Consumer Act 2010 applies to both brick and mortar and online businesses. It provides a set of guarantees for all Australian consumers when they purchase certain goods or services from physical and online Australian retailers. Electronic signatures are valid under the Electronic Transactions Act 1999 (Section 10).
","Since August 1974, last amended in October 2024; 

Since December 1999, last amended in 2011

","https://www.legislation.gov.au/C2004A00109
",https://www.legislation.gov.au/Details/C2005C00484,https://consumer.gov.au/australian-consumer-law/legislation,,
12,12.9,Not in the United Nations Convention of Electronic Communications,1,Lack of signature of the UN Convention on Electronic Communications,"Australia did not sign the United Nations Convention on the Use of Electronic Communications in International Contracts, however,  the legislation also includes substantive provisions of the United Nations Convention on the Use of Electronic Communications in International Contracts.",Since 2005,https://uncitral.un.org/en/texts/ecommerce/conventions/electronic_communications/status,,,,
12,12.10,Not in the UNCITRAL Model Law on Electronic Commerce,0,UNCITRAL Model Law on Electronic Commerce,Australia adopted the UNCITRAL Model Law on Electronic Commerce in 2011. ,Since 2011,https://uncitral.un.org/en/texts/ecommerce/modellaw/electronic_commerce/status,,,,
12,12.11,Not in the UNCITRAL Model Law on Electronic Signatures,0.50,Lack of adoption of the UNCITRAL Model Law on Electronic Signatures,Australia has not notified its adoption of the UNCITRAL Model Law on Electronic Signatures to the UNCITRAL Secretariat.,Since 2001,https://uncitral.un.org/en/texts/ecommerce/modellaw/electronic_signatures/status,,,,
,,,,,,,,,,Overall RDTII score,0.319
,,,,,,,,,,,
