Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score,
3,3.1,"Foreign equity limits in sectors relevant to digital trade 
Exception: Not cover foreign equity cap in telecom sector (covered under Pillar 5) and e-commerce sector (covered under Pillar 12)",0.80,"Government Resolution No.13 on Certain Matters Pertaining to the Implementation of State Support of Investments, 2016 (Қазақстан Республикасы Үкіметінің 2016 жылғы 14 қаңтардағы № 13 қаулысы) ; 

Law No. 451-Ion Mass Media, 1999 (Қазақстан Республикасының 1999 жылғы 23 шілдедегі N 451 Заңы. Күші жойылды - Қазақстан Республикасының 2024 жылғы 19 маусымдағы № 93-VIII ҚРЗ Заңымен)","According to Government Resolution No.13 dated 14 January 2016 on Certain Matters Pertaining to the Implementation of State Support of Investments, production of digital goods such as computers, electronic and optical products is identified as a priority area for implementation of foreign investment projects, among others and are therefore subject to investment preferences. However, certain restrictions still exist in sectors related to digital economy. 

For instance, in accordance with Article 5 of the Law on Mass Media, foreigners and foreign legal entities as well as stateless persons cannot directly and (or) indirectly own, use, dispose and (or) manage more than 20 percent of the shares of a legal entity which is the owner of a mass media organization in Kazakhstan or carries out activities in this area, including online mass media. This requirement does not apply to internet resources intended for electronic commerce.","Since January 2016, last amended in May 2024 ; 

Since July 1999, last amended in August 2024",https://adilet.zan.kz/kaz/docs/P1600000013,https://adilet.zan.kz/kaz/docs/Z990000451_,http://adilet.zan.kz/eng/docs/P1600000013,http://adilet.zan.kz/eng/docs/Z990000451_,0.360,
3,3.2,Joint venture requirements,0,"Entrepeneur Code No.375-V LRK, 2015 (Қазақстан Республикасының Кодексі 2015 жылғы 29 қазандағы № 375-V ҚРЗ)",The requirements regarding joint ventures exist only in the oil and gas sector and do not apply to sectors relevant to digital economy.,"Since January 2016, last amended in August 2024",https://adilet.zan.kz/kaz/docs/K1500000375,https://adilet.zan.kz/eng/docs/K1500000375,,,,
3,3.3,Nationality or residency requirements for board of directors or managers,0,"Decree of the Supreme Council No.268-ХIII on the Civil Code, 1994 (Қазақстан Республикасының Кодексі 1994 жылғы 27 желтоқсандағы № 268-ХIII) ;

Law No. 2198 on State Registration of Legal Entities and Record Registration of Branches and Representatives 1995 (Қазақстан Республикасының 1995 жылғы 17 сәуiрдегі N 2198 Заңы);

Labour Code No.414-V, 2017 (Қазақстан Республикасының Кодексі 2015 жылғы 23 қарашадағы № 414-V ҚРЗ)","According to Article 3(7) of the Civil Code, foreign individuals and legal entities have the right to acquire the same rights and they shall be obliged to fulfill the same obligations which are provided for by civil legislation for citizens and domestic legal entities, unless otherwise stipulated by the legislative acts. 

No restrictions exist with regard to citizenship or residency of members of the board of directors of a company in accordance with the Law on State Registration of Legal Entities. 

However, according to Article 32 of the Labour Code No.414-V following the employment legislation, foreigners must obtain work permit unless the legislation provides exemptions, as in the case of foreign heads of branches and representative offices of foreign companies.","Since December 1994, last amended in July 2024 ; 

Since April 1995, last amended in August 2024;

Since January 2016, last amended in July 2024 2017",https://adilet.zan.kz/kaz/docs/K940001000_,https://adilet.zan.kz/kaz/docs/Z950002198_,https://adilet.zan.kz/kaz/docs/K1500000414,,,
3,3.4,"Screening of investment and acquisitions
Exception: Anti-trust measures related to M&A are not considered a restriction, unless discriminatory. ",0.25,"Entrepeneur Code No.375-V LRK, 2015 (Қазақстан Республикасының Кодексі 2015 жылғы 29 қазандағы № 375-V ҚРЗ) ;

Law on  National Security No.527-IV, 2012 (Қазақстан Республикасының 2012 жылғы 6 қаңтардағы № 527-IV Заңы)","Pursuant to Article 275(2) of the Entrepreneur Code, foreign investment activities in certain areas and/or territories can be limited or banned by Kazakh law due to national security considerations.

According to Article 22 of the Law No. 527-IV on National Security, foreign investments in strategic sectors or in the use of strategic resources are subject to screening and restrictions due to national security considerations. This article explicitly mentions the need for national security interests to be considered at the stage of concluding contracts for the use of the Republic's strategic resources. Moreover, Article 22(3) requires monitoring of economic facilities owned or managed by foreign organizations to safeguard national economic security, ensuring that foreign investment activities do not harm the national interest. The state retains the right to block or restrict transactions involving strategic resources if such transactions are deemed a risk to national security. Additionally, Article 22(4) provides the state with the authority to deny permits for the transfer of subsoil use rights or shares in companies that hold such rights, further emphasizing control over strategic resources and the protection of national interests.

The National Security Law takes a broad definition of national security by encompassing “economic security"" and “public security"". Although not explicitly discriminatory, these provisions allow the State to bar the acquisition by foreigners of strategic objects, including the participation of foreign investors in the privatisation of certain assets. ","Since January 2016, last amended in August 2024 ;

Since January 2012, last amended in December 2023","https://adilet.zan.kz/kaz/docs/K1500000375;

https://adilet.zan.kz/eng/docs/K1500000375","https://adilet.zan.kz/kaz/docs/Z1200000527;

https://adilet.zan.kz/eng/docs/Z1200000527",,,,
3,3.4,"Screening of investment and acquisitions
Exception: Anti-trust measures related to M&A are not considered a restriction, unless discriminatory. ",0.25,"Decree of the Supreme Council No.268-ХIII on the Civil Code, 1994 (Қазақстан Республикасының Кодексі 1994 жылғы 27 желтоқсандағы № 268-ХIII);

Law No. 413-IV on State property, 2011 (Қазақстан Республикасының 2011 жылғы 1 наурыздағы N 413-IV Заңы)","Article 193-1 of Kazakhstan's Civil Code defines ""strategic facilities"" as assets vital to the nation's socio-economic stability and national security. These include critical infrastructure such as main railway networks, pipelines, national electrical grids, communication lines, and facilities related to television, radio broadcasting, and nuclear energy. The article stipulates that any encumbrance or alienation (transfer of ownership) of these strategic facilities requires prior approval from the Government of Kazakhstan, as outlined in the country's state property legislation. Additionally, if a private entity intends to sell a strategic facility, the Republic of Kazakhstan holds a preemptive right to purchase it under terms specified by state property laws. Transactions conducted without adhering to these requirements are deemed null and void.

According to Article 188 of Kazakhstan's Law on State Property, to proceed with any transfer or encumbrance of strategic facilities, the owner or holder of rights must submit a formal application to the appropriate state authority. This application requires an extensive array of documentation, including proof of ownership, a certified valuation of the facility, and crucially, comprehensive details on the intended acquirer, including final beneficiaries. 

Decisions to approve or deny applications for alienation or encumbrance rest with the government itself, which is legally allotted up to forty-five working days to consider each case in detail. This centralized decision-making process provides a clear pathway for authorities to assess whether potential transfers align with the country's interests, ensuring that facilities of national significance, especially those involved in digital trade infrastructure like communications or broadcast networks, remain under acceptable influence. In cases where conditions change within the transfer process, the owner must reapply, allowing the state to reassess any evolving circumstances and safeguard against unintended control shifts.

Once a decision is reached, the government communicates its stance to the applicant, and this decision holds considerable legal weight. Furthermore, a state body conducts continuous monitoring of transactions involving these strategic assets, upholding a constant layer of supervision that ensures adherence to Kazakhstan's broader objectives.

This regulatory framework directly impacts foreign investment in sectors relevant to digital trade. Many strategic facilities, such as communication lines and broadcasting systems, are integral to digital trade infrastructure. The necessity for government approval and the state's preemptive acquisition rights introduce a screening mechanism for foreign investments and mergers and acquisitions (M&A) in these sectors.

","Since December 1994, last amended in July 2024;

Since February 2011, last amended in June 2024","https://adilet.zan.kz/kaz/docs/K940001000_;

https://adilet.zan.kz/eng/docs/K940001000_","https://adilet.zan.kz/kaz/docs/Z1100000413;

https://adilet.zan.kz/eng/docs/Z1100000413",,,,
3,3.5,Commercial presence requirements to offer cross-border services in sectors relevant to digital trade,0,"Law No. 544 On regulation of trading activities, 2004 (Қазақстан Республикасының 2004 жылғы 12 сәуірдегі N 544 Заңы) ;

Order No.264 On approval of the rules of domestic trade, 2015 (Қазақстан Республикасы Ұлттық экономика министрінің м.а. 2015 жылғы 27 наурыздағы № 264 бұйрығы);

Order No.4 On approval of the notification templates and the rules for submission of notifications by state authorities, 2015 (Қазақстан Республикасы Ұлттық экономика министрінің 2015 жылғы 6 қаңтардағы № 4 бұйрығы)",Regulations in Kazakhstan do not directly mandate that a foreign company must have a commercial presence or act through a local intermediary,"Since April 2004, last amended in August 2024; 

Since March 2015, last amended in July 2024;

Since January 2015, last amended in March 2024 ",https://adilet.zan.kz/kaz/docs/Z040000544_,https://adilet.zan.kz/kaz/docs/V1500011148,https://adilet.zan.kz/kaz/docs/V1500010194/info,,,
4,4.1,Patent application issues,1,"Law No. 427 on Patent, 1999 (Қазақстан Республикасының 1999 жылғы 16 шілдедегі N 427 Заңы)","According to Article 38 of Law no.427 foreign individuals, foreign legal entities and stateless persons residing in the Republic of Kazakhstan enjoy the same rights as the Kazakhstani citizens. 

However, according to Article 36(5), foreign applicants seeking to file for patent protection must operate through registered local patent attorneys. This requirement mandates that individuals or legal entities residing outside of Kazakhstan must designate a patent attorney who is a citizen of Kazakhstan and registered within the national framework to represent them in dealings with the authorized body and expert organization. This introduces a significant procedural distinction between local and foreign applicants, as local applicants are permitted to file directly without the need for such intermediaries.

Also, according to Article 35, a state fee is levied for various actions in the patent application process, including the registration of patent attorneys and the performance of examinations.
","Since July 1999, last amended in August 2022",https://adilet.zan.kz/kaz/docs/Z990000427_,http://adilet.zan.kz/eng/docs/Z990000427_,,,0.210,
4,4.2,"Patent enforcement issues: civil and administrative procedures and remedies, provisional and other measures",0,"Law No. 427 on Patent, 1999 (Қазақстан Республикасының 1999 жылғы 16 шілдедегі N 427 Заңы)","According to Article 22 of Law No. 427, the enforcement of intellectual property rights, particularly patents, includes both civil and administrative procedures. Once a patent application is filed, it undergoes a formal examination to ensure compliance with submission requirements, followed by a substantive examination to assess whether the invention meets legal standards of patentability, such as novelty, inventive step, and industrial applicability. If the expert agency refuses to grant a patent, the applicant has the legal right to appeal the decision before the Appeals Board. 

In Article 15, the law specifies civil enforcement mechanisms for patent infringements. Any unauthorized manufacture, sale, or commercial distribution of products that contain patented technology constitutes an infringement. Patent holders are empowered to take legal action to demand that the infringer cease their activities, compensate for damages, or surrender profits derived from the infringement.

Furthermore, Article 13 of the law incorporates provisional measures to offer legal protection during the period between patent application and formal patent issuance. This allows for interim judicial measures to prevent infringement, including the blocking of infringing goods at customs, before the final decision on the patent is made. ","Since July 1999, last amended in August 2022",https://adilet.zan.kz/kaz/docs/Z990000427_,http://adilet.zan.kz/eng/docs/Z990000427_,,,,
4,4.2,"Patent enforcement issues: civil and administrative procedures and remedies, provisional and other measures",0,"Law No. 427 on Patent, 1999 (Қазақстан Республикасының 1999 жылғы 16 шілдедегі N 427 Заңы)","Under Article 11 of Law No. 427, the government can issue a compulsory non-exclusive license for the use of a patented invention without the patent holder’s consent under certain conditions, such as ensuring national security, public health, or other essential needs. Although the patent holder is notified and compensated, this is a restriction on patent enforcement in specific cases.
","Since July 1999, last amended in August 2022",https://adilet.zan.kz/kaz/docs/Z990000427_,http://adilet.zan.kz/eng/docs/Z990000427_,,,,
4,4.3,Not in the WIPO Copyright Treaty (WCT),0,Patent Cooperation Treaty,Kazakhstan is a member of the Patent Cooperation Treaty (PCT) since 1993.,Since 1993,https://www.wipo.int/pct/en/pct_contracting_states.html#note2,,,,,
